,loss
0,1.5701184272766113
1,0.4496564269065857
2,0.6043857336044312
3,0.48922157287597656
4,0.48613354563713074
5,0.4865860342979431
6,0.5032361745834351
7,0.4718058705329895
8,0.45011329650878906
9,0.45942962169647217
10,0.45072460174560547
11,0.40248405933380127
12,0.3999952971935272
13,0.3864419460296631
14,0.3853478729724884
15,0.4546884298324585
16,0.43508264422416687
17,0.5191613435745239
18,0.48746415972709656
19,0.4839005172252655
20,0.5000267028808594
21,0.5204969048500061
22,0.46564528346061707
23,0.4228283166885376
24,0.4738585352897644
25,0.4742797315120697
26,0.4268907904624939
27,0.4601096510887146
28,0.4311142563819885
29,0.390731543302536
30,0.36733564734458923
31,0.27778586745262146
32,0.29146847128868103
33,0.2669104337692261
34,0.2494180053472519
35,0.254133403301239
36,0.27231791615486145
37,0.2693469524383545
38,0.31203821301460266
39,0.27350637316703796
40,0.26981961727142334
41,0.2868151068687439
42,0.31150245666503906
43,0.2843853533267975
44,0.2740624248981476
45,0.27394720911979675
46,0.2730027735233307
47,0.2707604467868805
48,0.285356342792511
49,0.2929252088069916
50,0.29030632972717285
51,0.27831655740737915
52,0.29632115364074707
53,0.3158831000328064
54,0.4784897267818451
55,0.5598556399345398
56,0.5584214925765991
57,0.5510934591293335
58,0.5564693212509155
59,0.5831980109214783
60,0.5516915917396545
61,0.5067635774612427
62,0.5185738801956177
63,0.4653701186180115
64,0.45773813128471375
65,0.4838889241218567
66,0.48238900303840637
67,0.49256113171577454
68,0.4251492917537689
69,0.26879143714904785
70,0.2479591816663742
71,0.2560354471206665
72,0.29308563470840454
73,0.2618739902973175
74,0.2672818899154663
75,0.26952439546585083
76,0.2506726384162903
77,0.27544426918029785
78,0.28042367100715637
79,0.2733502686023712
80,0.26824477314949036
81,0.2739955186843872
82,0.2696128189563751
83,0.2909882664680481
84,0.29472535848617554
85,0.35235723853111267
86,0.48211610317230225
87,0.27873340249061584
88,0.27925947308540344
89,0.3043028712272644
90,0.4215516448020935
91,0.4145333170890808
92,0.5092666745185852
93,0.5584122538566589
94,0.5504869222640991
95,0.4434034824371338
96,0.5506333708763123
97,0.5507500767707825
98,0.5367317199707031
99,0.5588690638542175
100,0.4893735945224762
101,0.4606700837612152
102,0.5254395604133606
103,0.5032526254653931
104,0.4929463267326355
105,0.47234171628952026
106,0.4610929787158966
107,0.43992748856544495
108,0.49764958024024963
109,0.522915244102478
110,0.5338523387908936
111,0.49883490800857544
112,0.4110771417617798
113,0.3806551694869995
114,0.3965710997581482
115,0.40388980507850647
116,0.4338115155696869
117,0.4514097571372986
118,0.44971010088920593
119,0.32940950989723206
120,0.3697543442249298
121,0.41807201504707336
122,0.28656813502311707
123,0.24834392964839935
124,0.2779902219772339
125,0.25256165862083435
126,0.24904170632362366
127,0.24345248937606812
128,0.25090673565864563
129,0.27264663577079773
130,0.31230613589286804
131,0.3136383295059204
132,0.36781901121139526
133,0.34914010763168335
134,0.24821415543556213
135,0.24560607969760895
136,0.2532092332839966
137,0.2532830834388733
138,0.3014044165611267
139,0.35020625591278076
140,0.30921608209609985
141,0.4430229365825653
142,0.39998501539230347
143,0.4863073229789734
144,0.4428834915161133
145,0.4951818585395813
146,0.5160883665084839
147,0.5141977071762085
148,0.5302959680557251
149,0.5517135262489319
150,0.525216817855835
151,0.5219667553901672
152,0.4566537141799927
153,0.4591895341873169
154,0.45035597681999207
155,0.4616506099700928
156,0.439151406288147
157,0.4599784016609192
158,0.3679172396659851
159,0.3689417243003845
160,0.33712533116340637
161,0.3316207230091095
162,0.30898821353912354
163,0.236794576048851
164,0.24335366487503052
165,0.2518220543861389
166,0.24814271926879883
167,0.2476610392332077
168,0.23868796229362488
169,0.24825114011764526
170,0.2657454013824463
171,0.2498072236776352
172,0.25116392970085144
173,0.32717347145080566
174,0.41912558674812317
175,0.5500019788742065
176,0.5242848992347717
177,0.51433926820755
178,0.5353721976280212
179,0.4323260486125946
180,0.456063449382782
181,0.45915672183036804
182,0.47182658314704895
183,0.4948682487010956
184,0.4801676869392395
185,0.4424095153808594
186,0.4579530954360962
187,0.463356077671051
188,0.4265439510345459
189,0.385641872882843
190,0.4436550438404083
191,0.43704232573509216
192,0.34264785051345825
193,0.41327592730522156
194,0.4341670572757721
195,0.4210952818393707
196,0.36451318860054016
197,0.43453362584114075
198,0.4122799038887024
199,0.3767798840999603
200,0.3526872992515564
201,0.32451727986335754
202,0.35222041606903076
203,0.29121410846710205
204,0.25803929567337036
205,0.22761297225952148
206,0.23110073804855347
207,0.23428776860237122
208,0.24142242968082428
209,0.26173487305641174
210,0.25458043813705444
211,0.2430163472890854
212,0.252625972032547
213,0.2493935227394104
214,0.2965609133243561
215,0.2725331485271454
216,0.24880088865756989
217,0.330913782119751
218,0.3141563832759857
219,0.3509564697742462
220,0.44475656747817993
221,0.4857347309589386
222,0.4414459466934204
223,0.44262418150901794
224,0.4299212396144867
225,0.4638310968875885
226,0.4751749336719513
227,0.545688271522522
228,0.5259377956390381
229,0.5260902047157288
230,0.4951893985271454
231,0.48102378845214844
232,0.46230030059814453
233,0.4660075902938843
234,0.3928130567073822
235,0.31696179509162903
236,0.2933785915374756
237,0.30616816878318787
238,0.24201257526874542
239,0.2285553365945816
240,0.23891273140907288
241,0.2378745973110199
242,0.23608703911304474
243,0.2310236096382141
244,0.26303115487098694
245,0.3517792820930481
246,0.4345027208328247
247,0.5130501985549927
248,0.5254561901092529
249,0.47305747866630554
250,0.45305103063583374
251,0.4826422929763794
252,0.3619301915168762
253,0.42919638752937317
254,0.43670904636383057
255,0.46710488200187683
256,0.4463706612586975
257,0.4162016808986664
258,0.29329589009284973
259,0.2377091646194458
260,0.22490698099136353
261,0.22881567478179932
262,0.22300562262535095
263,0.23899002373218536
264,0.22704407572746277
265,0.24342070519924164
266,0.23590324819087982
267,0.2583499550819397
268,0.24704678356647491
269,0.24581535160541534
270,0.2469131350517273
271,0.24335676431655884
272,0.2921467423439026
273,0.2436356544494629
274,0.2575499713420868
275,0.2387695014476776
276,0.27632060647010803
277,0.30477121472358704
278,0.40862032771110535
279,0.4885978102684021
280,0.4085240066051483
281,0.4955236315727234
282,0.490614652633667
283,0.4850328862667084
284,0.4728987514972687
285,0.28451353311538696
286,0.26045966148376465
287,0.3208821415901184
288,0.27346497774124146
289,0.30203571915626526
290,0.45212310552597046
291,0.5282381772994995
292,0.5220019221305847
293,0.49956899881362915
294,0.4825969636440277
295,0.46319857239723206
296,0.43778708577156067
297,0.4425017237663269
298,0.4278814494609833
299,0.4382431209087372
