label,centroid-0,centroid-1,orientation,solution,frame,set
0,0.6183061782535795,-0.0278222867471567,5.462736158672862,0.0,0,0
1,2.9803067580564706,2.0452097829139895,0.5434351134555634,0.0,0,0
2,1.8985874190377645,-2.7003235114039392,5.5228700630964225,0.0,0,0
3,-1.8866888250264318,1.706454648505387,0.613164276389652,0.0,0,0
4,2.9833040737644962,2.9128137708049335,4.453530223116224,0.0,0,0
5,-0.2610559495133593,2.4601760783042765,0.7920106917465906,0.0,0,0
6,1.104271380116792,1.4115976685844505,0.5244624902406182,0.0,0,0
7,-1.1774265799369081,-1.7409828287178555,6.1097127691377855,0.0,0,0
8,-1.2158255568406362,2.354632287870019,1.5809642526800731,0.0,0,0
9,1.3559063989615883,3.1171683740222162,3.909638791607413,0.0,0,0
10,0.6224313082492097,-0.03211088870067558,5.462471986274314,0.0,1,0
11,2.9854028288462677,2.029268744953427,0.5428417954979279,0.0,1,0
12,1.9029295580566645,-2.70445989346723,5.521808040276893,0.0,1,0
13,-1.8870552062511674,1.7047457285709735,0.6130359421924461,0.0,1,0
14,2.981692251210699,2.9255536515357305,4.451134569892615,0.0,1,0
15,-0.25216970898623914,2.4649129738702555,0.7929803054801754,0.0,1,0
16,1.1094155680743785,1.414591287118828,0.5234577778997102,0.0,1,0
17,-1.171520187810139,-1.742011672340562,6.108846948171626,0.0,1,0
18,-1.2151327541023171,2.365297397514887,1.578428046242013,0.0,1,0
19,1.3516245493488284,3.1129264948293294,3.907396292996654,0.0,1,0
20,0.6265511908004239,-0.0363975253136802,5.4632834245575665,0.0,2,0
21,2.990591996896655,2.0194133372383045,0.5425691002361421,0.0,2,0
22,1.9072791250926593,-2.7085982581324024,5.523089791784721,0.0,2,0
23,-1.886646679523439,1.703727193759178,0.6129933034756848,0.0,2,0
24,2.979966790214179,2.9325037698641623,4.449706541970854,0.0,2,0
25,-0.2438436651924895,2.469562317224133,0.7914548076914572,0.0,2,0
26,1.1145729422502524,1.4175767603903848,0.522004205996805,0.0,2,0
27,-1.1656097059051336,-1.743052609880838,6.107917135112378,0.0,2,0
28,-1.21464262693223,2.3753839860686483,1.5774663574485188,0.0,2,0
29,1.34733457364727,3.108684061575346,3.9052147791074945,0.0,2,0
30,0.6306780119551267,-0.040701090623393846,5.465025230455172,0.0,3,0
31,2.995848776816881,2.0123242813146707,0.5406868226137371,0.0,3,0
32,1.9116342198289908,-2.7127286021560315,5.5242907713765685,0.0,3,0
33,-1.8856579655621202,1.703206835855994,0.6131636356102973,0.0,3,0
34,2.9781766430432692,2.936775577453205,4.447169371836914,0.0,3,0
35,-0.23600124284293675,2.474150085793748,0.793789247726776,0.0,3,0
36,1.1197327898767555,1.4205622830870392,0.5215475412522529,0.0,3,0
37,-1.1596969755369586,-1.7440999556055834,6.105667003658624,0.0,3,0
38,-1.2142489235293354,2.3850370549371593,1.5773353907890257,0.0,3,0
39,1.3430298581227365,3.1044592436964136,3.903679228765598,0.0,3,0
40,0.6348014140252956,-0.044993197426944354,5.466748686304918,0.0,4,0
41,3.0011585226059,2.0068198960038273,0.5388631388465129,0.0,4,0
42,1.9159863733363809,-2.716861337428714,5.524260315993348,0.0,4,0
43,-1.884218291332735,1.703077652163402,0.6117465089044418,0.0,4,0
44,2.9763319635419148,2.9395030341488693,4.444423941400519,0.0,4,0
45,-0.2285709176294053,2.478675896374774,0.7906703707022621,0.0,4,0
46,1.124891200966446,1.423557010060499,0.5231029732708288,0.0,4,0
47,-1.1537886697448225,-1.7451566579997595,6.1061201417109645,0.0,4,0
48,-1.2138913702209013,2.394347121165945,1.5791588870792193,0.0,4,0
49,1.338721192160536,3.100219244480505,3.9041031204049643,0.0,4,0
50,0.6389395688602955,-0.04926697969161284,5.467706934317159,0.0,5,0
51,3.0064994642660117,2.0023398633589027,0.5394138500163961,0.0,5,0
52,1.9203353955361324,-2.7209881341860895,5.524680860861893,0.0,5,0
53,-1.8824229523460343,1.7032612703735983,0.6099267783050619,0.0,5,0
54,2.974447848518229,2.941212867937333,4.445584823088098,0.0,5,0
55,-0.2214697205414846,2.4831517444867055,0.7899953004116496,0.0,5,0
56,1.1300544535656558,1.4265555784781276,0.5226452662849244,0.0,5,0
57,-1.1478871553604995,-1.7462134390138402,6.105469070886375,0.0,5,0
58,-1.213555402225872,2.4033962294903013,1.5779270233982658,0.0,5,0
59,1.3343992795020168,3.095980308838314,3.9032635426240923,0.0,5,0
60,0.6430804042249963,-0.05355401093129075,5.467412089343177,0.0,6,0
61,3.011859644384758,1.9985848962226636,0.5399464176180615,0.0,6,0
62,1.9246847052017586,-2.725114847591006,5.525398927252869,0.0,6,0
63,-1.8803238263625208,1.703700771880183,0.6092506905060584,0.0,6,0
64,2.9725268033464203,2.9422277989863583,4.442199073169806,0.0,6,0
65,-0.21467646402528873,2.4875874448524757,0.7875866745101426,0.0,6,0
66,1.135212109207113,1.4295508236446426,0.5225123846589884,0.0,6,0
67,-1.1419757291792814,-1.74727211586861,6.102852272434921,0.0,6,0
68,-1.213197448584521,2.4122193189921113,1.5794810074904533,0.0,6,0
69,1.3300779768097022,3.091740472005633,3.9060848297918995,0.0,6,0
70,0.6472215629980234,-0.05784673915191797,5.465267749774542,0.0,7,0
71,3.017251142808241,1.9953533833731618,0.5408548134693991,0.0,7,0
72,1.929039853235652,-2.72923571672394,5.5255625685834255,0.0,7,0
73,-1.8779834916655165,1.704359427310226,0.6071109891933574,0.0,7,0
74,2.970571029313527,2.9427285630834374,4.4418376513358595,0.0,7,0
75,-0.20813927320148579,2.4919836970622664,0.788489064614494,0.0,7,0
76,1.140368385859151,1.4325671318103708,0.5245050196703922,0.0,7,0
77,-1.1360745402988914,-1.7483521593542983,6.101816037219569,0.0,7,0
78,-1.2128471569391093,2.420850832317954,1.5813135761139465,0.0,7,0
79,1.3257631185066876,3.0874896483875585,3.907148909118771,0.0,7,0
80,0.6513443935481626,-0.062142330592899905,5.465414446966521,0.0,8,0
81,3.0226656409757187,1.9925229124654529,0.5406629787667339,0.0,8,0
82,1.9333932415384838,-2.733355877528557,5.525545146808716,0.0,8,0
83,-1.875416904336437,1.7052050370631073,0.6094885966304568,0.0,8,0
84,2.968578090827629,2.9428352420877766,4.439848620014517,0.0,8,0
85,-0.20183985107806016,2.4963609692739657,0.7899480399747992,0.0,8,0
86,1.1455216093720286,1.435594561469024,0.5243176705716315,0.0,8,0
87,-1.130166740779092,-1.7494314723992217,6.101697107831731,0.0,8,0
88,-1.2124829174339182,2.429318891033046,1.5823962640154163,0.0,8,0
89,1.3214494298653845,3.0832250889674255,3.908841306604541,0.0,8,0
90,0.6554759806554314,-0.06643732164159272,5.466180910109924,0.0,9,0
91,3.0281159602964256,1.9899945252455316,0.5394610100512257,0.0,9,0
92,1.9377411246296579,-2.737485529685653,5.522746749435625,0.0,9,0
93,-1.8726763561149917,1.7062211990683185,0.608299493972038,0.0,9,0
94,2.9665544259737353,2.942650581180676,4.43849168568808,0.0,9,0
95,-0.19574041841164974,2.5007174693424,0.7887394523088774,0.0,9,0
96,1.1506824059160805,1.4386172202793126,0.5236546960650886,0.0,9,0
97,-1.1242681659359184,-1.7505198064475433,6.101617518192481,0.0,9,0
98,-1.2121008983401398,2.43764650372839,1.5835899354713356,0.0,9,0
99,1.3171349584264946,3.0789562701408077,3.909620402756058,0.0,9,0
100,0.6596003744201949,-0.07073415454530534,5.467372124486547,0.0,10,0
101,3.033593175243406,1.9877251055062868,0.540638540562864,0.0,10,0
102,1.9420871083405487,-2.741619053707467,5.52222940302039,0.0,10,0
103,-1.8697744041361344,1.7073867682817563,0.6079393749902048,0.0,10,0
104,2.9645000998265907,2.9422165420807898,4.440049212390504,0.0,10,0
105,-0.18983113901049184,2.505058976422331,0.79076296202149,0.0,10,0
106,1.1558449829711182,1.4416422113542138,0.5228764555192721,0.0,10,0
107,-1.1183655804793986,-1.751606279831651,6.101318376693997,0.0,10,0
108,-1.2117033483647934,2.4458411341046666,1.5829635312071997,0.0,10,0
109,1.3128231884580503,3.0746788716429077,3.910416903362669,0.0,10,0
110,0.6641504863965259,-0.07546707946881229,5.466849164462317,0.0,11,0
111,3.0396549788877274,1.985462666810334,0.5416807367821224,0.0,11,0
112,1.9468679713113728,-2.7461635010751113,5.522825669994522,0.0,11,0
113,-1.8664157640839782,1.7088085352807862,0.6083273535319212,0.0,11,0
114,2.9622209358810063,2.941499212784905,4.443441434120729,0.0,11,0
115,-0.183510654092199,2.5098256386088607,0.7885019089882774,0.0,11,0
116,1.1615202259740447,1.4449699197036545,0.524266844233941,0.0,11,0
117,-1.1118644211902646,-1.7527871543815405,6.103218957233601,0.0,11,0
118,-1.2112418684252042,2.454728016429573,1.58397958572242,0.0,11,0
119,1.308077264623577,3.0699718465748065,3.9101002263226103,0.0,11,0
120,0.6682881147865168,-0.07976232785625897,5.468187434518878,0.0,12,0
121,3.0451849326090783,1.9835777167940205,0.5401978531221208,0.0,12,0
122,1.9512113026705051,-2.750309957327705,5.521872420384832,0.0,12,0
123,-1.8632324025669882,1.7102293788846206,0.6106501531586189,0.0,12,0
124,2.9601406533735326,2.940675702147691,4.442621254228042,0.0,12,0
125,-0.17789976931873575,2.5141288032580276,0.7845790565826172,0.0,12,0
126,1.1666931327431203,1.4480091743383992,0.5242936117085554,0.0,12,0
127,-1.10594752660214,-1.753863402579321,6.102638533843563,0.0,12,0
128,-1.2108006478951459,2.46269427154148,1.5831771448278191,0.0,12,0
129,1.3037469918359592,3.0656963371767687,3.907764398117454,0.0,12,0
130,0.6724233183825166,-0.0840686819500277,5.46497491147813,0.0,13,0
131,3.050739282019197,1.981834864423191,0.5401240217305905,0.0,13,0
132,1.9555479943614953,-2.754447899117378,5.520773258182945,0.0,13,0
133,-1.859940853598877,1.7117475866587575,0.6061225328757199,0.0,13,0
