,loss
0,1.789372205734253
1,1.0510571002960205
2,0.5944534540176392
3,0.6314531564712524
4,0.5277649164199829
5,0.3981168866157532
6,0.41620537638664246
7,0.38660505414009094
8,0.30526894330978394
9,0.2801913917064667
10,0.2500379979610443
11,0.2231530100107193
12,0.2103082239627838
13,0.19464890658855438
14,0.17187455296516418
15,0.1582450270652771
16,0.1469324678182602
17,0.1413038671016693
18,0.13197726011276245
19,0.13148492574691772
20,0.13064056634902954
21,0.11812902987003326
22,0.11738907545804977
23,0.10663003474473953
24,0.10643573105335236
