,loss
0,0.09808717668056488
1,0.0970773845911026
2,0.09372039139270782
3,0.0864666998386383
4,0.08594223111867905
5,0.08072786033153534
6,0.08056006580591202
7,0.0749870091676712
8,0.07811591029167175
9,0.07487109303474426
10,0.07502005994319916
11,0.0724116861820221
12,0.06966812908649445
13,0.06754907965660095
14,0.06518983840942383
15,0.06295149028301239
16,0.06455563008785248
17,0.06295767426490784
18,0.0596965067088604
19,0.0560031421482563
20,0.05592108517885208
21,0.056542299687862396
22,0.05206240713596344
23,0.05298314243555069
24,0.050831981003284454
